Wafer,Session,metric,median,mad_std,n
D07,20190715_190855,FSR_nm,14.363249999999994,0.1389196200000186,14
D07,20190715_190855,Notch_at_0V_nm,1548.6695,2.941256010000111,14
D07,20190715_190855,dLambda_dV_pm_per_V,-244.22857142842685,16.300127999848822,14
D07,20190715_190855,PeakIL_dB,-10.868134951591491,1.0053298362493501,14
D07,20190715_190855,I_at_-1V_pA,48527.729999999996,9747.635393999997,14
D08,20190526_082853,FSR_nm,9.828800000000001,0.0543372900001815,14
D08,20190526_082853,Notch_at_0V_nm,1311.23935,2.8869187199999296,14
D08,20190526_082853,dLambda_dV_pm_per_V,-182.83428571412662,18.545208000019805,14
D08,20190526_082853,PeakIL_dB,-7.984037637710571,1.4838178425264361,14
D08,20190526_082853,I_at_-1V_pA,56472.45,19801.034798999997,14
D08,20190712_113254,FSR_nm,14.23965634000001,0.11239167688362765,14
D08,20190712_113254,Notch_at_0V_nm,1547.79820398,2.936776245143973,14
D08,20190712_113254,dLambda_dV_pm_per_V,-239.7975008568099,16.447850874914053,14
D08,20190712_113254,PeakIL_dB,-10.549453703703705,0.7005324222222209,14
D08,20190712_113254,I_at_-1V_pA,444.48265000000004,598.788603588,14
D23,20190531_072042,FSR_nm,9.863000000000056,0.11556866999998085,14
D23,20190531_072042,Notch_at_0V_nm,1310.9766,3.8731442400001383,14
D23,20190531_072042,dLambda_dV_pm_per_V,-0.6114285713095926,2.7110400000335333,14
D23,20190531_072042,PeakIL_dB,-7.644342458248138,1.0264698653054234,14
D23,20190531_072042,I_at_-1V_pA,-120.24185,0.9317399699999906,14
D23,20190603_204847,FSR_nm,9.842700000000036,0.13017227999985465,14
D23,20190603_204847,Notch_at_0V_nm,1310.9357,3.8836706999998554,14
D23,20190603_204847,dLambda_dV_pm_per_V,-135.3314285713111,12.496200000163245,14
D23,20190603_204847,PeakIL_dB,-7.656464171409607,0.9810863465595249,14
D23,20190603_204847,I_at_-1V_pA,174719.25,41592.26735999998,14
D24,20190531_151815,FSR_nm,9.847800000000063,0.07865192999980879,14
D24,20190531_151815,Notch_at_0V_nm,1309.57865,3.715840380000015,14
D24,20190531_151815,dLambda_dV_pm_per_V,-1.1057142854221682,2.927075999969913,14
D24,20190531_151815,PeakIL_dB,-8.27956485748291,1.089509361219406,14
D24,20190531_151815,I_at_-1V_pA,-120.36755,2.0187822900000065,14
D24,20190603_225101,FSR_nm,9.824350000000095,0.06782895000016585,14
D24,20190603_225101,Notch_at_0V_nm,1309.4735,3.677070389999971,14
D24,20190603_225101,dLambda_dV_pm_per_V,-124.75142857138528,13.254443999722001,14
D24,20190603_225101,PeakIL_dB,-8.144787120819093,1.473342834420203,14
D24,20190603_225101,I_at_-1V_pA,259124.2,35736.88692000001,14
